
2024-12-17 09:51:44.411306	control stays autonomous
2024-12-17 09:51:44.411655	in takeoffloop
2024-12-17 09:51:45.412189	control stays autonomous
2024-12-17 09:51:45.412534	in takeoffloop
2024-12-17 09:51:45.412831	Timoout, took to long to reach target altitude: 354.58
2024-12-17 09:51:45.413097	simple_takeoff did not work: mode GUIDED
2024-12-17 09:51:45.413340	Speed_Up and groundspeed set/vehicle armed.
2024-12-17 09:51:45.414855	control stays autonomous
2024-12-17 09:51:45.415132	in gotoloop
2024-12-17 09:51:46.415791	control stays autonomous
2024-12-17 09:51:46.416221	in gotoloop
2024-12-17 09:51:47.418288	control stays autonomous
2024-12-17 09:51:47.418681	in gotoloop
2024-12-17 09:51:48.419313	control stays autonomous
2024-12-17 09:51:48.419714	in gotoloop
2024-12-17 09:51:49.420336	control stays autonomous
2024-12-17 09:51:49.420733	in gotoloop
2024-12-17 09:51:50.421362	control stays autonomous
2024-12-17 09:51:50.421945	in gotoloop
2024-12-17 09:51:51.423131	control stays autonomous
2024-12-17 09:51:51.423612	in gotoloop
2024-12-17 09:51:52.425306	control stays autonomous
2024-12-17 09:51:52.425660	in gotoloop
2024-12-17 09:51:53.426238	control stays autonomous
2024-12-17 09:51:53.426635	in gotoloop
2024-12-17 09:51:54.427268	control stays autonomous
2024-12-17 09:51:54.427672	in gotoloop
2024-12-17 09:51:55.428269	control stays autonomous
2024-12-17 09:51:55.428668	in gotoloop
2024-12-17 09:51:55.429020	Timoout, took to long to reach target altitude: 354.55
2024-12-17 09:51:55.429322	Speed_Up and groundspeed set/vehicle armed.
2024-12-17 09:51:55.430615	trying mavlink command
